cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
18192	2	non	62	110	1	na
18238	46	non	62	0	1	na
18240	2	non	61	110	1	na
18400	160	non	61	0	1	na
18528	128	non	57	110	1	na
18622	94	non	57	0	1	na
18624	2	non	57	110	1	na
18718	94	non	57	0	1	na
18720	2	non	52	110	1	na
18814	94	non	52	0	1	na
18816	2	non	59	110	1	na
18958	142	non	59	0	1	na
18960	2	non	57	110	1	na
19006	46	non	57	0	1	na
19008	2	non	56	110	1	na
19102	94	non	56	0	1	na
19104	2	non	57	110	1	na
19198	94	non	57	0	1	na
19296	98	non	52	110	1	na
19390	94	non	52	0	1	na
19392	2	non	57	110	1	na
19486	94	non	57	0	1	na
19488	2	non	59	110	1	na
19582	94	non	59	0	1	na
19584	2	non	61	110	1	na
19726	142	non	61	0	1	na
19728	2	non	62	110	1	na
19774	46	non	62	0	1	na
19776	2	non	61	110	1	na
19870	94	non	61	0	1	na
19872	2	non	59	110	1	na
19966	94	non	59	0	1	na
19968	2	non	57	110	1	na
20128	160	non	57	0	1	na
20160	32	non	66	110	1	na
20320	160	non	66	0	1	na
20352	32	non	65	110	1	na
20446	94	non	65	0	1	na
20448	2	non	61	110	1	na
20542	94	non	61	0	1	na
20544	2	non	59	110	1	na
20638	94	non	59	0	1	na
20640	2	non	58	110	1	na
20896	256	non	58	0	1	na
21120	224	non	58	110	1	na
21214	94	non	58	0	1	na
21216	2	non	59	110	1	na
21310	94	non	59	0	1	na
21312	2	non	61	110	1	na
21406	94	non	61	0	1	na
21408	2	non	61	110	1	na
21598	190	non	61	0	1	na
21600	2	non	70	110	1	na
21790	190	non	70	0	1	na
21792	2	non	68	110	1	na
21982	190	non	68	0	1	na
21984	2	non	66	110	1	na
22432	448	non	66	0	1	na
22656	224	non	59	110	1	na
22656	0	non	63	110	1	na
22750	94	non	59	0	1	na
22750	0	non	63	0	1	na
22752	2	non	58	110	1	na
22752	0	non	61	110	1	na
22846	94	non	58	0	1	na
22846	0	non	61	0	1	na
22848	2	non	54	110	1	na
22848	0	non	58	110	1	na
22942	94	non	54	0	1	na
22942	0	non	58	0	1	na
22944	2	non	59	110	1	na
22944	0	non	63	110	1	na
23038	94	non	59	0	1	na
23038	0	non	63	0	1	na
23040	2	non	58	110	1	na
23040	0	non	61	110	1	na
23134	94	non	58	0	1	na
23134	0	non	61	0	1	na
23136	2	non	54	110	1	na
23136	0	non	58	110	1	na
23760	624	non	54	0	1	na
23760	0	non	58	0	1	na
24192	432	non	58	110	1	na
24286	94	non	58	0	1	na
24288	2	non	59	110	1	na
24382	94	non	59	0	1	na
24384	2	non	61	110	1	na
24478	94	non	61	0	1	na
24480	2	non	61	110	1	na
24670	190	non	61	0	1	na
24672	2	non	70	110	1	na
24862	190	non	70	0	1	na
24864	2	non	68	110	1	na
25054	190	non	68	0	1	na
25056	2	non	66	110	1	na
25246	190	non	66	0	1	na
25248	2	non	66	110	1	na
25438	190	non	66	0	1	na
25440	2	non	66	110	1	na
25534	94	non	66	0	1	na
25536	2	non	66	110	1	na
25630	94	non	66	0	1	na
25632	2	non	64	110	1	na
25726	94	non	64	0	1	na
25728	2	non	64	110	1	na
25888	160	non	64	0	1	na
25920	32	non	62	110	1	na
26014	94	non	62	0	1	na
26016	2	non	61	110	1	na
26206	190	non	61	0	1	na
26208	2	non	59	110	1	na
26254	46	non	59	0	1	na
26256	2	non	57	110	1	na
26464	208	non	57	0	1	na
27744	1280	non	52	110	1	na
27838	94	non	52	0	1	na
27840	2	non	57	110	1	na
27934	94	non	57	0	1	na
27936	2	non	59	110	1	na
28030	94	non	59	0	1	na
28032	2	non	61	110	1	na
28126	94	non	61	0	1	na
28128	2	non	62	110	1	na
28222	94	non	62	0	1	na
28224	2	non	61	110	1	na
28384	160	non	61	0	1	na
28416	32	non	57	110	1	na
28576	160	non	57	0	1	na
28608	32	non	57	110	1	na
28702	94	non	57	0	1	na
28704	2	non	52	110	1	na
28798	94	non	52	0	1	na
28800	2	non	59	110	1	na
28894	94	non	59	0	1	na
28896	2	non	57	110	1	na
28990	94	non	57	0	1	na
28992	2	non	56	110	1	na
29086	94	non	56	0	1	na
29088	2	non	57	110	1	na
29182	94	non	57	0	1	na
29280	98	non	52	110	1	na
29374	94	non	52	0	1	na
29376	2	non	57	110	1	na
29470	94	non	57	0	1	na
29472	2	non	59	110	1	na
29566	94	non	59	0	1	na
29568	2	non	61	110	1	na
29662	94	non	61	0	1	na
29664	2	non	62	110	1	na
29758	94	non	62	0	1	na
29760	2	non	61	110	1	na
29854	94	non	61	0	1	na
29856	2	non	59	110	1	na
29950	94	non	59	0	1	na
29952	2	non	57	110	1	na
30112	160	non	57	0	1	na
30144	32	non	59	110	1	na
30238	94	non	59	0	1	na
30240	2	non	56	110	1	na
30496	256	non	56	0	1	na
30816	320	non	52	110	1	na
30910	94	non	52	0	1	na
30912	2	non	57	110	1	na
31006	94	non	57	0	1	na
31008	2	non	59	110	1	na
31102	94	non	59	0	1	na
31104	2	non	61	110	1	na
31246	142	non	61	0	1	na
31248	2	non	62	110	1	na
31294	46	non	62	0	1	na
31296	2	non	61	110	1	na
31456	160	non	61	0	1	na
31584	128	non	57	110	1	na
31678	94	non	57	0	1	na
31680	2	non	57	110	1	na
31774	94	non	57	0	1	na
31776	2	non	52	110	1	na
31870	94	non	52	0	1	na
31872	2	non	59	110	1	na
32014	142	non	59	0	1	na
32016	2	non	57	110	1	na
32062	46	non	57	0	1	na
32064	2	non	56	110	1	na
32158	94	non	56	0	1	na
32160	2	non	57	110	1	na
32254	94	non	57	0	1	na
32352	98	non	52	110	1	na
32446	94	non	52	0	1	na
32448	2	non	57	110	1	na
32542	94	non	57	0	1	na
32544	2	non	59	110	1	na
32638	94	non	59	0	1	na
32640	2	non	61	110	1	na
32734	94	non	61	0	1	na
32736	2	non	62	110	1	na
32830	94	non	62	0	1	na
32832	2	non	61	110	1	na
32926	94	non	61	0	1	na
32928	2	non	59	110	1	na
33022	94	non	59	0	1	na
33024	2	non	57	110	1	na
33184	160	non	57	0	1	na
33216	32	non	66	110	1	na
33376	160	non	66	0	1	na
33408	32	non	65	110	1	na
33502	94	non	65	0	1	na
33504	2	non	61	110	1	na
33598	94	non	61	0	1	na
33600	2	non	59	110	1	na
33694	94	non	59	0	1	na
33696	2	non	58	110	1	na
33952	256	non	58	0	1	na
34176	224	non	58	110	1	na
34270	94	non	58	0	1	na
34272	2	non	59	110	1	na
34366	94	non	59	0	1	na
34368	2	non	61	110	1	na
34462	94	non	61	0	1	na
34464	2	non	61	110	1	na
34654	190	non	61	0	1	na
34656	2	non	70	110	1	na
34846	190	non	70	0	1	na
34848	2	non	68	110	1	na
35038	190	non	68	0	1	na
35040	2	non	66	110	1	na
35488	448	non	66	0	1	na
35712	224	non	59	110	1	na
35806	94	non	59	0	1	na
35808	2	non	58	110	1	na
35902	94	non	58	0	1	na
35904	2	non	54	110	1	na
35998	94	non	54	0	1	na
36000	2	non	59	110	1	na
36094	94	non	59	0	1	na
36096	2	non	58	110	1	na
36190	94	non	58	0	1	na
36192	2	non	54	110	1	na
36816	624	non	54	0	1	na
37248	432	non	58	110	1	na
37342	94	non	58	0	1	na
37344	2	non	59	110	1	na
37438	94	non	59	0	1	na
37440	2	non	61	110	1	na
37534	94	non	61	0	1	na
37536	2	non	61	110	1	na
37726	190	non	61	0	1	na
37728	2	non	70	110	1	na
37918	190	non	70	0	1	na
37920	2	non	68	110	1	na
38110	190	non	68	0	1	na
38112	2	non	66	110	1	na
38302	190	non	66	0	1	na
38304	2	non	66	110	1	na
38494	190	non	66	0	1	na
38496	2	non	66	110	1	na
38590	94	non	66	0	1	na
38592	2	non	66	110	1	na
38686	94	non	66	0	1	na
38688	2	non	64	110	1	na
38782	94	non	64	0	1	na
38784	2	non	64	110	1	na
38944	160	non	64	0	1	na
38976	32	non	62	110	1	na
39070	94	non	62	0	1	na
39072	2	non	61	110	1	na
39262	190	non	61	0	1	na
39264	2	non	59	110	1	na
39310	46	non	59	0	1	na
39312	2	non	57	110	1	na
39520	208	non	57	0	1	na
39840	320	non	66	110	1	na
40030	190	non	66	0	1	na
40032	2	non	66	110	1	na
40126	94	non	66	0	1	na
40128	2	non	66	110	1	na
40222	94	non	66	0	1	na
40224	2	non	64	110	1	na
40318	94	non	64	0	1	na
40320	2	non	64	110	1	na
40480	160	non	64	0	1	na
40512	32	non	62	110	1	na
40606	94	non	62	0	1	na
40608	2	non	61	110	1	na
40798	190	non	61	0	1	na
40800	2	non	59	110	1	na
40846	46	non	59	0	1	na
40848	2	non	57	110	1	na
41056	208	non	57	0	1	na
41376	320	non	66	110	1	na
41566	190	non	66	0	1	na
41568	2	non	66	110	1	na
41662	94	non	66	0	1	na
41664	2	non	66	110	1	na
41758	94	non	66	0	1	na
41760	2	non	64	110	1	na
41854	94	non	64	0	1	na
41856	2	non	64	110	1	na
42016	160	non	64	0	1	na
42048	32	non	62	110	1	na
42142	94	non	62	0	1	na
42144	2	non	61	110	1	na
42576	432	non	61	0	1	na
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
96	96	non	52	110	0	na
190	94	non	52	0	0	na
288	98	non	52	110	0	na
382	94	non	52	0	0	na
1248	866	non	53	110	0	na
1342	94	non	53	0	0	na
1536	194	non	57	110	0	na
1630	94	non	57	0	0	na
1632	2	non	52	110	0	na
1632	0	non	64	110	0	na
1726	94	non	52	0	0	na
1726	0	non	64	0	0	na
1728	2	non	57	110	0	na
1822	94	non	57	0	0	na
1824	2	non	52	110	0	na
1824	0	non	64	110	0	na
1918	94	non	52	0	0	na
1918	0	non	64	0	0	na
1920	2	non	57	110	0	na
2014	94	non	57	0	0	na
2016	2	non	63	110	0	na
2110	94	non	63	0	0	na
2304	194	non	57	110	0	na
2398	94	non	57	0	0	na
2400	2	non	62	110	0	na
2494	94	non	62	0	0	na
2496	2	non	57	110	0	na
2590	94	non	57	0	0	na
2592	2	non	62	110	0	na
2686	94	non	62	0	0	na
2688	2	non	57	110	0	na
2782	94	non	57	0	0	na
2784	2	non	53	110	0	na
