cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
18016	160	non	77	0	0	na
18048	32	non	75	110	0	na
18142	94	non	75	0	0	na
18144	2	non	74	110	0	na
18238	94	non	74	0	0	na
18240	2	non	72	110	0	na
18334	94	non	72	0	0	na
18336	2	non	70	110	0	na
18430	94	non	70	0	0	na
18432	2	non	72	110	0	na
18526	94	non	72	0	0	na
18528	2	non	74	110	0	na
18622	94	non	74	0	0	na
18624	2	non	74	110	0	na
18784	160	non	74	0	0	na
18816	32	non	72	110	0	na
18976	160	non	72	0	0	na
19200	224	non	74	110	0	na
19294	94	non	74	0	0	na
19296	2	non	75	110	0	na
19390	94	non	75	0	0	na
19392	2	non	75	110	0	na
19552	160	non	75	0	0	na
19584	32	non	74	110	0	na
19744	160	non	74	0	0	na
19776	32	non	72	110	0	na
19936	160	non	72	0	0	na
19968	32	non	74	110	0	na
20128	160	non	74	0	0	na
20160	32	non	72	110	0	na
20320	160	non	72	0	0	na
20352	32	non	70	110	0	na
20512	160	non	70	0	0	na
20544	32	non	70	110	0	na
20704	160	non	70	0	0	na
20736	32	non	72	110	0	na
20896	160	non	72	0	0	na
20928	32	non	74	110	0	na
21088	160	non	74	0	0	na
21120	32	non	72	110	0	na
21214	94	non	72	0	0	na
21216	2	non	70	110	0	na
21310	94	non	70	0	0	na
21312	2	non	72	110	0	na
21454	142	non	72	0	0	na
21456	2	non	74	110	0	na
21574	118	non	74	0	0	na
21576	2	non	75	110	0	na
21694	118	non	75	0	0	na
21696	2	non	75	110	0	na
21856	160	non	75	0	0	na
21888	32	non	74	110	0	na
22048	160	non	74	0	0	na
22080	32	non	72	110	0	na
22240	160	non	72	0	0	na
22272	32	non	70	110	0	na
22366	94	non	70	0	0	na
22368	2	non	72	110	0	na
22462	94	non	72	0	0	na
22464	2	non	72	110	0	na
22624	160	non	72	0	0	na
23040	416	non	70	110	0	na
23200	160	non	70	0	0	na
23232	32	non	69	110	0	na
23392	160	non	69	0	0	na
23424	32	non	70	110	0	na
23584	160	non	70	0	0	na
23616	32	non	72	110	0	na
23776	160	non	72	0	0	na
23808	32	non	74	110	0	na
23968	160	non	74	0	0	na
24000	32	non	72	110	0	na
24094	94	non	72	0	0	na
24096	2	non	70	110	0	na
24190	94	non	70	0	0	na
24192	2	non	72	110	0	na
24286	94	non	72	0	0	na
24288	2	non	70	110	0	na
24382	94	non	70	0	0	na
24384	2	non	69	110	0	na
24544	160	non	69	0	0	na
24576	32	non	70	110	0	na
24736	160	non	70	0	0	na
24768	32	non	70	110	0	na
24862	94	non	70	0	0	na
24864	2	non	72	110	0	na
24958	94	non	72	0	0	na
24960	2	non	74	110	0	na
25120	160	non	74	0	0	na
25152	32	non	72	110	0	na
25312	160	non	72	0	0	na
25536	224	non	75	110	0	na
25696	160	non	75	0	0	na
